SubjectID,Loc,Axrms,Ayrms,Azrms,Gxrms,Gyrms,Gzrms,Power_Unsprung,Power_Sprung
13,Ankle,8.231622738,4.40765588,1.978165504,28.04665488,46.94493879,177.9198752,282.5720808,10.20084093
13,Ankle,4.28804226,3.125822543,2.215512933,26.35279204,70.59261541,105.719047,95.64113278,49.6810871
13,Ankle,0.807894362,0.452414043,1.372534307,12.18468436,13.78920766,15.07424236,2.964230024,0.368915342
14,Ankle,6.179333165,3.608928293,2.876591323,71.47674103,73.07243073,165.6542051,228.5632921,6.173427339
14,Ankle,7.757166213,4.697239354,3.928378317,79.72617478,85.26116677,172.9747064,234.2254396,1.531190239
14,Ankle,3.124435697,2.114016172,2.342474303,48.48573761,67.51243814,84.06614886,61.31978483,1.557689987
14,Ankle,1.16343685,0.935955954,1.540738356,22.36752723,41.27968324,23.73725253,9.722219294,0.387604987
15,Ankle,6.285507584,4.145975898,1.917635354,35.79335678,74.56412559,140.2321449,147.1685058,18.82136988
15,Ankle,9.935908183,5.623079865,2.732804416,45.99232566,103.4256009,171.9563556,354.142052,2.576198205
15,Ankle,2.989263141,2.239161102,1.629167232,23.72964155,58.00468157,75.19621928,32.96447869,8.687348819
15,Ankle,1.1576423,0.744699695,1.310877927,14.67522938,24.20385499,19.59058445,9.118452833,1.2462369
16,Wrist,1.369946615,2.693289146,1.045546599,18.7320964,66.22796812,76.57493331,4.795466449,10.48159846
16,Wrist,2.209544881,2.147612156,1.219438844,26.53801642,72.7452815,104.0171651,12.22380601,13.3579824
16,Wrist,2.804238321,4.167164704,2.973304619,32.84472656,42.07858625,36.85970057,8.83133346,10.13246241
16,Wrist,1.281832224,2.566473984,0.890610701,15.37910968,32.80252819,31.32106264,1.368207684,1.132865305
17,Wrist,0.718870751,1.402585926,0.714945186,15.51038039,27.57066403,20.34254851,0.173358237,13.05096923
17,Wrist,0.989186502,2.389677917,1.038160085,21.47137059,32.3314333,30.75824567,0.778623374,30.07134605
17,Wrist,5.312288913,3.99250419,3.39992395,44.49753791,68.58884309,58.18515844,7.565115527,58.42253864
17,Wrist,5.174555191,6.815961548,2.760655982,39.21551764,53.55108081,57.88858649,12.01992952,56.7683022
18,Wrist,1.4686061,2.014981792,1.272307186,33.24571379,53.21368905,43.76794069,3.121517089,14.78612918
18,Wrist,2.373417674,2.637589346,1.793669595,52.39937249,67.79563302,65.32915885,13.79393174,33.64777967
18,Wrist,3.665767259,3.92876852,3.107962457,41.22761605,53.1114546,37.1235053,7.711553095,9.060368442
18,Wrist,3.693429311,6.333411378,1.835078733,33.51150393,46.05996324,34.33104704,15.38204567,22.83287591
19,Wrist,1.290147704,2.192405065,1.65395524,91.93802192,56.63473274,106.2517739,12.04098543,28.65213096
19,Wrist,1.46116211,1.88729907,1.784607029,80.94800379,61.12629262,125.3377071,9.04268169,10.38648034
19,Wrist,3.462689015,4.698155646,1.75663616,24.87493987,46.78554449,28.49708639,9.432876114,4.998383356
20,Wrist,2.216784988,3.369223678,1.440896178,29.04659533,48.94357168,45.79275906,2.85398681,25.67916872
20,Wrist,2.308122854,3.96379009,1.461430854,41.14316916,62.61711492,75.78952803,5.225751623,40.55705739
20,Wrist,2.767701832,3.747237068,2.438872555,29.59196305,42.52766421,34.33775828,7.839760727,2.585188883
20,Wrist,2.891862938,4.632387507,1.879750333,23.72783778,35.48926749,24.77263375,4.741867462,1.847004195
21,Wrist,1.43956907,1.801834694,1.838949147,42.44103796,41.65571066,106.6983326,1.741916461,19.47669192
21,Wrist,2.244002691,2.710953278,2.159615705,65.9060717,67.99370556,176.4842837,4.311861676,40.65392397
21,Wrist,4.463020247,4.07553594,2.998529002,35.92124903,51.3357038,50.18561211,8.589775921,15.87111336
21,Wrist,3.667675415,3.453316373,1.754501224,18.13368782,33.07455599,45.36224196,16.31974992,12.15800596
22,Wrist,1.800425527,2.52728427,2.065376542,37.76523086,63.15051059,57.48326156,3.640222914,31.86567567
22,Wrist,1.643675012,2.389474872,1.336597098,41.96314752,59.09532934,69.75070127,3.959170654,66.14022382
22,Wrist,3.514097803,4.288839697,3.31845924,42.88076228,61.24427836,45.32267878,0.001997841,9.636510726
22,Wrist,1.756458163,2.765182928,1.357668679,24.03072896,48.30070528,42.7201637,0.00133033,9.500682702
23,Wrist,1.759828266,2.70760551,0.983988389,28.38897281,73.1337358,112.1285577,2.671681535,15.03082536
23,Wrist,1.672565534,2.49262047,0.902292559,28.34792317,73.56617894,135.0957546,3.868805736,53.37506404
23,Wrist,3.591982942,3.583795558,3.736349196,39.23767497,67.37572462,39.64597953,10.75959853,9.391385509
23,Wrist,2.413014925,3.224788083,1.564894592,17.73850431,32.58844051,32.96754047,9.878259884,5.480172088
24,Wrist,1.33719252,2.40000497,1.279584689,30.25578804,50.96721065,40.6781443,2.927137575,22.01761771
24,Wrist,0.853569234,2.690661172,0.830358421,45.65596782,61.68093022,77.12248785,3.218967773,59.81320056
24,Wrist,3.825824613,3.525613828,3.18336962,24.69848887,47.97341743,30.2077012,4.270835156,5.217860057
24,Wrist,2.676087811,2.595364176,1.087493093,17.0031576,28.74273775,19.59240865,3.062048379,1.565123055
25,Wrist,1.481524212,2.246949465,1.215750322,46.61787127,80.25523586,111.8612257,11.02733311,21.88560952
25,Wrist,3.165386036,2.261741249,1.447654986,51.17536254,88.84345431,141.0256875,15.9282728,31.70192423
25,Wrist,3.779915145,4.721870455,2.985387569,38.55096701,53.6289678,58.09170258,15.21548868,11.48114199
25,Wrist,2.766579101,3.214330124,2.062628158,22.43731231,28.68818947,27.94310809,4.104704664,2.083335027
26,Ankle,4.046136855,4.182307263,1.857802545,45.20763163,45.89827082,155.8144933,224.0364554,124.2815246
26,Ankle,6.775026779,5.516926396,2.569063777,54.83423796,59.13982018,191.6301119,351.6716929,246.9950901
26,Ankle,2.223022716,1.891192903,1.585253094,28.44615455,54.14964174,68.75015818,25.97957275,18.98492912
26,Ankle,0.7916294,0.392960606,1.217958717,11.02406564,19.48669365,11.10980957,2.34963442,0.614175251
27,Ankle,3.936032116,3.595775161,1.390480838,28.92061097,52.84295604,140.5935196,114.5240772,128.2761793
27,Ankle,5.989690308,5.086300006,1.92671842,37.52308972,69.57049074,180.1609389,402.1693134,353.3503201
27,Ankle,1.904451378,1.765912814,1.309763211,24.01109649,58.81224164,62.25450918,29.27290645,28.56063572
27,Ankle,0.485450471,0.28710461,0.985826884,5.282991313,6.264796156,4.773082235,0.470388966,0.068984685
28,Ankle,4.896689549,4.367604311,1.650498982,37.40383895,57.77358627,168.6243831,302.1051073,204.3321512
28,Ankle,7.300007519,5.210863206,2.260026151,41.78672938,68.04376179,203.471946,428.1247561,100.842384
